Property #,Address,Sales Date,HSETYPE,One and a Half Storey,Two Storey,AGEYR,LFA,EXTAMEN,Minor Exterior Amenities,Two or Three Extra Amenities,More than Three Exterior Amenities,EXTFINFACTOR,Only Brick,GAR,Carport,One Car Garage,Two Car Garage,STSCAPE,Average View,Good View,CENAIR,POOL,INTCOND,Average Interior Condition,Good Interior Condition,Excellent Interior Condition,BSMTFINAREA,BI AMEN APPL,LANESRD,TRAFCOUNT,PRICE
52,275 Riverside Dr,6/6/2000,3,0,1,65,1050,3,0,0,1,4,0,0,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,19000,127000
53,269 Riverside Dr,5/25/2001,3,0,1,70,1186,0,0,0,0,3,1,1,1,0,0,3,1,0,0,0,1,0,0,0,0,0,0,19000,106000
54,259 Riverside Dr,11/5/2000,0,0,0,75,947,2,0,1,0,4,0,0,0,0,0,3,1,0,0,0,5,0,1,0,0,1,0,19000,145000
55,251 Riverside Dr,8/4/1998,2,1,0,70,1280,3,0,0,1,3,1,2,0,1,0,5,0,1,1,0,3,1,0,0,0,2,0,19000,126000
56,235 Riverside Dr,5/25/1999,0,0,0,60,734,3,0,0,1,2,0,1,1,0,0,3,1,0,1,0,5,0,1,0,0,0,0,19000,117500
57,130 Riverside Dr,11/18/1999,0,0,0,27,662,1,1,0,0,1,0,1,1,0,0,3,1,0,0,0,5,0,1,0,561,0,1,24000,114000
58,67 Riverside Dr,2/1/2002,0,0,0,44,752,2,0,1,0,1,0,0,0,0,0,3,1,0,0,0,3,1,0,0,660,3,1,25000,118900
59,65 Riverside Dr,12/28/2001,0,0,0,48,529,0,0,0,0,3,1,0,0,0,0,3,1,0,0,0,3,1,0,0,529,3,1,25000,101000
60,144 Springbank Dr,1/5/2002,0,0,0,48,742,1,1,0,0,3,1,1,1,0,0,3,1,0,0,0,1,0,0,0,396,6,0,23000,102000
61,335 Springbank Dr,10/29/2001,0,0,0,52,742,1,1,0,0,1,0,1,1,0,0,3,1,0,1,0,5,0,1,0,431,0,0,23000,118000
62,343 Springbank Dr,10/25/1999,2,1,0,55,985,2,0,1,0,1,0,1,1,0,0,5,0,1,1,0,7,0,0,1,241,0,0,23000,130000
63,359 Springbank Dr,7/20/1999,0,0,0,55,890,3,0,0,1,3,1,1,1,0,0,1,0,0,1,1,3,1,0,0,414,2,0,23000,109500
64,371 Springbank Dr,12/19/2000,0,0,0,55,1034,3,0,0,1,3,1,1,1,0,0,5,0,1,1,0,5,0,1,0,463,4,0,23000,145000
65,405 Springbank Dr,7/29/1999,0,0,0,48,782,3,0,0,1,3,1,1,1,0,0,5,0,1,1,0,5,0,1,0,312,0,0,23000,139000
66,752 Springbank Dr,6/19/2001,0,0,0,45,1019,3,0,0,1,1,0,1,1,0,0,5,0,1,1,0,7,0,0,1,654,1,0,13000,193500
67,317 Boler Rd,4/8/1999,0,0,0,55,1071,2,0,1,0,3,1,1,1,0,0,3,1,0,0,0,3,1,0,0,170,3,0,11000,117900
68,359 Boler Rd,5/19/2001,0,0,0,48,640,3,0,0,1,3,1,1,1,0,0,5,0,1,1,0,7,0,0,1,557,3,0,11000,137000
69,366 Boler Rd,3/8/1998,0,0,0,55,733,2,0,1,0,2,0,1,1,0,0,3,1,0,1,0,3,1,0,0,487,0,0,11000,121000
70,373 Boler Rd,6/21/1999,0,0,0,51,759,3,0,0,1,3,1,0,0,0,0,3,1,0,0,1,3,1,0,0,652,0,0,11000,119900
71,375 Boler Rd,11/17/2000,0,0,0,50,831,1,1,0,0,3,1,1,1,0,0,3,1,0,1,0,3,1,0,0,0,0,0,11000,126000
72,377 Boler Rd,4/8/2001,0,0,0,50,1002,1,1,0,0,3,1,1,1,0,0,5,0,1,1,1,5,0,1,0,479,0,0,11000,137000
73,377 Boler Rd,1/22/1998,0,0,0,48,1002,1,1,0,0,3,1,1,1,0,0,5,0,1,1,1,5,0,1,0,479,0,0,11000,139900
74,385 Boler Rd,7/14/2001,2,1,0,50,925,2,0,1,0,2,0,1,1,0,0,3,1,0,1,0,7,0,0,1,0,0,0,11000,139000
75,401 Boler Rd,6/16/1999,0,0,0,55,723,3,0,0,1,1,0,1,1,0,0,5,0,1,1,0,5,0,1,0,178,1,0,11000,128000
76,458 Boler Rd,9/15/2000,0,0,0,48,1336,2,0,1,0,3,1,2,0,1,0,5,0,1,1,0,5,0,1,0,0,0,0,11000,139000
77,458 Boler Rd,8/13/1999,0,0,0,47,1336,2,0,1,0,3,1,2,0,1,0,5,0,1,1,0,5,0,1,0,0,0,0,11000,139000
78,501 Boler Rd,9/24/2001,0,0,0,41,900,3,0,0,1,1,0,2,0,1,0,5,0,1,1,0,7,0,0,1,697,3,0,11000,180000
79,501 Boler Rd,2/8/1998,0,0,0,38,900,3,0,0,1,1,0,2,0,1,0,5,0,1,1,0,7,0,0,1,697,3,0,11000,165000
80,503 Boler Rd,2/25/2000,0,0,0,40,901,2,0,1,0,3,1,1,1,0,0,3,1,0,1,0,5,0,1,0,901,2,0,11000,131000
81,524 Boler Rd,8/30/1998,0,0,0,55,862,2,0,1,0,5,0,0,0,0,0,3,1,0,1,0,5,0,1,0,100,0,0,11000,144000
82,528 Boler Rd,11/2/1999,0,0,0,30,870,2,0,1,0,3,1,1,1,0,0,3,1,0,0,0,7,0,0,1,697,1,0,11000,156900
83,543 Boler Rd,3/10/1998,0,0,0,0,864,0,0,0,0,3,1,1,1,0,0,5,0,1,0,0,7,0,0,1,0,1,0,11000,131800
84,251 Riverside Dr,5/26/2003,2,1,0,75,1202,0,0,0,0,1,0,2,0,1,0,3,1,0,1,0,3,1,0,0,0,0,0,18500,149900
85,253 Riverside Dr,11/29/2002,0,0,0,75,808,0,0,0,0,2,0,2,0,1,0,3,1,0,0,0,3,1,0,0,382,0,0,18500,99900
86,334 Riverside Dr,8/12/2002,0,0,0,50,939,2,0,1,0,2,0,0,0,0,0,3,1,0,0,0,5,0,1,0,807,0,0,18500,249900
87,332 Riverside Dr,6/15/2002,0,0,0,50,645,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,3,1,0,0,645,0,0,18500,169900
88,360 Boler Rd,11/29/2002,0,0,0,50,757,0,0,0,0,1,0,1,1,0,0,3,1,0,1,0,3,1,0,0,757,0,0,11000,134900
89,540 Boler Rd,7/26/2002,0,0,0,26,749,1,1,0,0,3,1,2,0,1,0,3,1,0,1,1,5,0,1,0,459,0,0,11000,169900
90,457 Boler Rd,11/1/2002,0,0,0,33,774,1,1,0,0,1,0,1,1,0,0,3,1,0,1,1,5,0,1,0,289,0,0,11000,149900
91,373 Boler Rd,10/2/2002,0,0,0,45,760,1,1,0,0,1,0,0,0,0,0,3,1,0,1,1,3,1,0,0,651,0,0,11000,139900
92,1315 Springbank Ave,11/18/2002,0,0,0,50,723,1,1,0,0,2,0,1,1,0,0,5,0,1,1,0,3,1,0,0,645,0,0,0,156000
93,1283 Springbank Ave,1/30/2003,2,1,0,70,826,1,1,0,0,3,1,0,0,0,0,5,0,1,1,0,3,1,0,0,0,0,0,0,139900
94,1278 Springbank Ave,3/1/2002,0,0,0,33,714,1,1,0,0,2,0,0,0,0,0,5,0,1,1,1,3,1,0,0,489,0,0,0,119900
95,570 Oxford E,12/13/2002,3,0,1,70,1242,1,1,0,0,1,0,1,1,0,0,3,1,0,1,0,5,0,1,0,0,0,1,30000,229900
96,644 Oxford St E,4/26/2002,3,0,1,25,1233,0,0,0,0,3,1,0,0,0,0,3,1,0,1,0,3,1,0,0,567,0,1,33000,129900
97,692 Oxford St E,3/31/2003,0,0,0,60,644,0,0,0,0,2,0,1,1,0,0,3,1,0,0,0,3,1,0,0,280,0,1,32000,99900
98,1045 Oxford St. E,7/15/2002,0,0,0,65,427,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,1,32000,69900
99,1053 Oxford St E,1/1/2003,0,0,0,50,919,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,3,1,0,0,480,0,1,32000,124500
100,1187 Oxford St E,4/10/2003,0,0,0,60,628,0,0,0,0,2,0,1,1,0,0,1,0,0,0,0,3,1,0,0,562,0,1,32000,116900
101,190 Wharncliffe Rd,5/1/2003,3,0,1,80,745,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,1,33000,119900
102,258 Wharncliffe Rd,5/31/2002,3,0,1,70,0,0,0,0,0,3,1,0,0,0,0,1,0,0,1,0,3,1,0,0,0,0,1,33000,117000
103,344 Wharncliffe Rd,2/11/2003,0,0,0,50,769,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,3,1,0,0,0,0,1,33000,84900
104,372 Wharncliffe Rd,7/19/2002,0,0,0,51,763,0,0,0,0,1,0,1,1,0,0,5,0,1,1,0,5,0,1,0,763,0,0,33000,139900
